,Job Request ID ,Application Date,Customer Name,Gender,Contact Number,Email Address,National ID Number,Administrative Division (Lagos),LGA Zone,Street Name,Zipcode,Description of Need,Latitude,Longitude,Job Status,Completed Date and time
817,PP20140418058,2014-04-18,Ijeoma Ojo,Female,2348163171238,ijeoma.ojo13@yahoo.com,51940861598,Lagos Island Division,Lagos Mainland,Folsom,94110.0,Low water pressure affecting entire household supply,6.521052,3.375164,Closed,2026-02-13 04:03:00
818,PP20150430177,2015-04-30,Femi Balogun,Male,2348120746747,femi.balogun25@yahoo.com,42932096717,Ikeja Division,Alimosho,Lake,94121.0,Flooding due to collapsed drainage system after rainfall,6.599449,3.299236,Closed,2026-02-13 04:03:00
819,PP20180926222,2018-09-26,Adebayo Balogun,Male,2348127812034,adebayo.balogun75@outlook.com,86036575959,Ikeja Division,Mushin,Geary,94121.0,Blocked drainage channel causing street-level flooding,6.547925,3.343925,Closed,2026-02-13 04:03:00
820,PP20120306954,2012-03-06,Temitope Oladipo,Female,2348197101488,temitope.oladipo77@hotmail.com,56486085781,Ikorodu Division,Ikorodu,Wilmot,94115.0,Septic tank backflow causing strong sewage odor indoors,6.619642,3.524622,Closed,2026-02-13 04:03:00
821,PP20110421641,2011-04-21,Opeyemi Yakubu,Female,2348031262052,opeyemi.yakubu26@hotmail.com,14499193830,Ikeja Division,Oshodi-Isolo,Jackson,94118.0,Bathroom floor drain completely clogged with wastewater backup,6.552804,3.312624,Closed,2026-02-13 04:03:00
822,PP20140516806,2014-05-16,Ijeoma Afolabi,Female,2348023001971,ijeoma.afolabi15@yahoo.com,41506638244,Ikeja Division,Alimosho,35th,94116.0,Low water pressure affecting entire household supply,6.598376,3.299283,Closed,2026-02-13 04:03:00
823,PP20090817368,2009-08-17,Adaeze Mohammed,Female,2349019975320,adaeze.mohammed93@outlook.com,79930402509,Lagos Island Division,Apapa,Steiner,94115.0,bring 5 bathrooms (existing) upto ada standards.,6.446929,3.368857,Closed,2026-02-13 04:03:00
824,PP20150623748,2015-06-23,Ayomide Mohammed,Male,2348058454090,ayomide.mohammed48@gmail.com,26156149902,Lagos Island Division,Apapa,18th,94114.0,Sewer overflow spreading wastewater near market area,6.460674,3.384896,Closed,2026-02-13 04:03:00
825,PP20170512302,2017-05-12,Chioma Okoye,Female,2348062766796,chioma.okoye43@hotmail.com,2343388844,Epe Division,Ibeju-Lekki,Larkin,94109.0,install (1) shower pan.,6.475796,3.588258,Closed,2026-02-13 04:03:00
826,PP20160525727,2016-05-25,Aisha Adeyemi,Female,2348121352250,aisha.adeyemi63@hotmail.com,15194434691,Ikeja Division,Ifako-Ijaiye,Jackson,94109.0,Minor kitchen sink pipe leakage under cabinet,6.671744,3.325068,Closed,2026-02-13 04:03:00
827,PP20160712036,2016-07-12,Femi Bamidele,Male,2348160409715,femi.bamidele91@yahoo.com,3603550645,Ikeja Division,Oshodi-Isolo,Franklin,94109.0,Septic tank backflow causing strong sewage odor indoors,6.556985,3.305146,Closed,2026-02-13 04:03:00
828,PP20080623866,2008-06-23,Aisha Nwosu,Female,2348129493023,aisha.nwosu74@outlook.com,6323844762,Badagry Division,Ojo,Dolores,94110.0,final inspection per e200304297225,6.462685,3.196176,Closed,2026-02-13 04:03:00
829,PP20190815498,2019-08-15,Opeyemi Akinyemi,Female,2349011109152,opeyemi.akinyemi38@gmail.com,1200771714,Lagos Island Division,Surulere,Green,94123.0,Water pipeline rupture near highway causing erosion,6.486835,3.372199,Closed,2026-02-13 04:03:00
830,PP20190807254,2019-08-07,Zainab Ibrahim,Female,2349094073831,zainab.ibrahim72@hotmail.com,8391057300,Ikeja Division,Ifako-Ijaiye,Minerva,94112.0,sewer line and house trap replacement,6.682971,3.327419,Closed,2026-02-13 04:03:00
831,PP20081210440,2008-12-10,Chisom Afolabi,Female,2349024956369,chisom.afolabi75@hotmail.com,51418143098,Lagos Island Division,Apapa,09th,94118.0,Septic tank backflow causing strong sewage odor indoors,6.427581,3.352922,Closed,2026-02-13 04:03:00
832,PP20080324134,2008-03-24,Chinedu Balogun,Male,2348056378677,chinedu.balogun54@gmail.com,29738417315,Ikeja Division,Mushin,Chestnut,94133.0,Toilet overflow due to heavily blocked drain system,6.54027,3.354371,Closed,2026-02-13 04:03:00
833,PP20160516468,2016-05-16,Tunde Ajayi,Male,2349018534946,tunde.ajayi52@outlook.com,7868106397,Ikeja Division,Ikeja,Gladstone,94134.0,replace house - trap and main line,6.591807,3.346452,Closed,2026-02-13 04:03:00
834,PP20150421915,2015-04-21,Yetunde Ogunleye,Female,2348116839935,yetunde.ogunleye75@hotmail.com,26698390695,Lagos Island Division,Lagos Island,Tillman,94108.0,Sudden burst water pipe inside bathroom wall causing flooding,6.462506,3.400167,Closed,2026-02-13 04:03:00
835,PP20171101056,2017-11-01,Yetunde Akinyemi,Female,2349078007682,yetunde.akinyemi43@gmail.com,8979347159,Lagos Island Division,Eti-Osa,Stockton,94108.0,relocate and add heads on 3 floors and add 1 preaction system,6.430711,3.418232,Closed,2026-02-13 04:03:00
836,PP20090928265,2009-09-28,Yetunde Abiola,Female,2349094249035,yetunde.abiola32@yahoo.com,17492137092,Epe Division,Epe,California,94104.0,Septic tank backflow causing strong sewage odor indoors,6.580082,3.974376,Closed,2026-02-13 04:03:00
837,PP20170818007,2017-08-18,Femi Okoye,Male,2348036703343,femi.okoye25@yahoo.com,1960870901,Lagos Island Division,Surulere,Canyon,94112.0,"reinstall shower pan, toilet, sink",6.513054,3.357577,Closed,2026-02-13 04:03:00
838,PP20180423776,2018-04-23,Ayomide Yakubu,Male,2348116108051,ayomide.yakubu85@outlook.com,15036892344,Lagos Island Division,Lagos Island,Clay,94115.0,High-pressure pipe burst affecting multiple residential buildings,6.466272,3.409913,Closed,2026-02-13 04:03:00
839,PP20190808269,2019-08-08,Amaka Ekanem,Female,2348183545241,amaka.ekanem28@hotmail.com,14906458207,Badagry Division,Amuwo-Odofin,Spear,94105.0,Flooding due to collapsed drainage system after rainfall,6.459983,3.245684,Closed,2026-02-13 04:03:00
840,PP20180620494,2018-06-20,Zainab Nwosu,Female,2348092077268,zainab.nwosu44@outlook.com,11934027526,Ikeja Division,Ifako-Ijaiye,Grove,94102.0,Water pipeline rupture near highway causing erosion,6.673837,3.328358,Closed,2026-02-13 04:03:00
841,PP20120914556,2012-09-14,Zainab Ibrahim,Female,2349072196684,zainab.ibrahim77@gmail.com,54772798927,Badagry Division,Badagry,Munich,94112.0,Major pipe burst near primary school disrupting access road,6.405963,2.888244,Closed,2026-02-13 04:03:00
842,PP20140512664,2014-05-12,Bola Danladi,Female,2349037331036,bola.danladi16@gmail.com,76702566534,Ikeja Division,Ikeja,28th,94116.0,Septic tank backflow causing strong sewage odor indoors,6.59001,3.363377,Closed,2026-02-13 04:03:00
843,PP20150213023,2015-02-13,Kunle Ojo,Male,2349088904669,kunle.ojo34@gmail.com,80144679554,Epe Division,Ibeju-Lekki,Farallones,94112.0,Sudden burst water pipe inside bathroom wall causing flooding,6.465354,3.587012,Closed,2026-02-13 04:03:00
844,PP20090129780,2009-01-29,Yetunde Ojo,Female,2348185932893,yetunde.ojo50@gmail.com,47452482763,Ikeja Division,Ikeja,Funston,94116.0,Public tap pipe severely damaged in residential community,6.604633,3.348911,Closed,2026-02-13 04:03:00
845,PP20180628753,2018-06-28,Femi Adebisi,Male,2349070650347,femi.adebisi71@gmail.com,47969917781,Lagos Island Division,Apapa,Hill,94110.0,Flooding due to collapsed drainage system after rainfall,6.454667,3.354251,Closed,2026-02-13 04:03:00
846,PP20081112313,2008-11-12,Adaeze Danladi,Female,2348062139394,adaeze.danladi23@gmail.com,31326461354,Ikeja Division,Oshodi-Isolo,Moss,94103.0,Sewer overflow spreading wastewater near market area,6.562313,3.29464,Closed,2026-02-13 04:03:00
847,PP20080916789,2008-09-16,Ayomide Eze,Male,2349068149820,ayomide.eze63@yahoo.com,16186254821,Epe Division,Ibeju-Lekki,Lake,94118.0,Minor kitchen sink pipe leakage under cabinet,6.471264,3.604389,Closed,2026-02-13 04:03:00
848,PP20180710978,2018-07-10,Seyi Eze,Male,2349015400335,seyi.eze97@outlook.com,13082417246,Lagos Island Division,Surulere,43rd,94122.0,High-pressure pipe burst affecting multiple residential buildings,6.486897,3.354023,Closed,2026-02-13 04:03:00
849,PP20110817351,2011-08-17,Femi Adeyemi,Male,2349059509866,femi.adeyemi57@outlook.com,12797296187,Lagos Island Division,Apapa,24th,94114.0,Bathroom floor drain completely clogged with wastewater backup,6.453939,3.360796,Closed,2026-02-13 04:03:00
850,PP20110614841,2011-06-14,Yetunde Ojo,Female,2348136115623,yetunde.ojo64@hotmail.com,88634649744,Ikeja Division,Kosofe,Laguna,94115.0,install new toilet & lavy.,6.586806,3.421592,Closed,2026-02-13 04:03:00
851,PP20190712512,2019-07-12,Yetunde Mohammed,Female,2348162663640,yetunde.mohammed92@hotmail.com,43619329762,Badagry Division,Badagry,25th,94110.0,unit# 1: new plumbing for 1 1/2 bathroom 1 kitchen.,6.421347,2.896097,Closed,2026-02-13 04:03:00
852,PP20121128396,2012-11-28,Abdulrahman Nnamdi,Male,2349093611019,abdulrahman.nnamdi78@gmail.com,33967370863,Ikeja Division,Mushin,Hollister,94124.0,Water heater pipe leakage soaking utility area,6.531398,3.352187,Closed,2026-02-13 04:03:00
853,PP20091229152,2009-12-29,Chinedu Adeyemi,Male,2348107700935,chinedu.adeyemi68@gmail.com,79179566113,Ikorodu Division,Ikorodu,Webster,94117.0,install vented trap and section of ci pipe.,6.626126,3.529499,Closed,2026-02-13 04:03:00
854,PP20140304691,2014-03-04,Chioma Chukwu,Female,2348101259316,chioma.chukwu43@gmail.com,53545855744,Ikeja Division,Kosofe,Sacramento,94115.0,remodel two existing bathrooms - shower pan,6.581974,3.406955,Closed,2026-02-13 04:03:00
855,PP20120628699,2012-06-28,Amaka Yakubu,Female,2349037769836,amaka.yakubu55@outlook.com,90507985818,Ikeja Division,Oshodi-Isolo,Upper,94117.0,Water main leakage along roadside causing traffic obstruction,6.564671,3.306896,Closed,2026-02-13 04:03:00
856,PP20090113344,2009-01-13,Oluwaseun Okoye,Male,2348129031842,oluwaseun.okoye75@outlook.com,32007101238,Ikeja Division,Kosofe,Castro,94114.0,Major pipe burst near primary school disrupting access road,6.561573,3.425174,Closed,2026-02-13 04:03:00
857,PP20170418674,2017-04-18,Temitope Umeh,Female,2348065906766,temitope.umeh37@outlook.com,64450554989,Lagos Island Division,Eti-Osa,Ralston,94132.0,Bathroom floor drain completely clogged with wastewater backup,6.427747,3.420995,Closed,2026-02-13 04:03:00
858,PP20151215359,2015-12-15,Amaka Abiola,Female,2348113684143,amaka.abiola49@gmail.com,94896289638,Lagos Island Division,Surulere,Bay,94133.0,Major pipe burst near primary school disrupting access road,6.50022,3.362705,Closed,2026-02-13 04:03:00
859,PP20190506523,2019-05-06,Adebayo Okafor,Male,2348104882955,adebayo.okafor66@outlook.com,58391893166,Ikeja Division,Kosofe,Hermann,94102.0,Water main leakage along roadside causing traffic obstruction,6.590395,3.412345,Closed,2026-02-13 04:03:00
860,PP20191113130,2019-11-13,Kunle Adebisi,Male,2348069206496,kunle.adebisi31@hotmail.com,44750304438,Badagry Division,Ajeromi-Ifelodun,Sloat,94116.0,"construct 2 bedroom, 2 full bath, and laundry rm at gr fl. removel e kitchen, bath rm, add 1 new bath and remove interior wall between lving rm/ dining rm 2nd fl. 4 shower pans total",6.471831,3.330705,Closed,2026-02-13 04:03:00
861,PP20140826547,2014-08-26,Yetunde Ekanem,Female,2348197262298,yetunde.ekanem17@hotmail.com,79245474799,Lagos Island Division,Eti-Osa,Rutland,94134.0,Toilet overflow due to heavily blocked drain system,6.440488,3.428054,Closed,2026-02-13 04:03:00
862,PP20160725428,2016-07-25,Kelechi Oladipo,Male,2349013529966,kelechi.oladipo74@hotmail.com,24352933451,Lagos Island Division,Eti-Osa,Theresa,94112.0,Public tap pipe severely damaged in residential community,6.423746,3.43276,Closed,2026-02-13 04:03:00
863,PP20130214285,2013-02-14,Femi Nwosu,Male,2348072133774,femi.nwosu80@gmail.com,97366916014,Lagos Island Division,Surulere,22nd,94121.0,remodel kitchen & 2 bathrooms & gas stove,6.49154,3.368881,Closed,2026-02-13 04:03:00
864,PP20161014850,2016-10-14,Chisom Danladi,Female,2348155704331,chisom.danladi38@gmail.com,76298426304,Lagos Island Division,Lagos Island,Shotwell,94110.0,Toilet overflow due to heavily blocked drain system,6.457773,3.413082,Closed,2026-02-13 04:03:00
865,PP20080725797,2008-07-25,Kelechi Ogunleye,Male,2348120564781,kelechi.ogunleye65@yahoo.com,73678845691,Lagos Island Division,Lagos Mainland,Nevada,94110.0,Underground water pipe burst near hospital entrance,6.522165,3.375707,Closed,2026-02-13 04:03:00
866,PP20130828689,2013-08-28,Bola Umeh,Female,2348153842524,bola.umeh13@hotmail.com,80556155874,Ikeja Division,Mushin,Broadway,94123.0,Sewer overflow spreading wastewater near market area,6.527106,3.351568,Closed,2026-02-13 04:03:00
867,PP20190708307,2019-07-08,Ijeoma Yakubu,Female,2348055948257,ijeoma.yakubu81@outlook.com,66462655116,Ikeja Division,Ikeja,Duboce,94103.0,Water heater pipe leakage soaking utility area,6.609799,3.335337,Closed,2026-02-13 04:03:00
868,PP20101229032,2010-12-29,Chukwudi Abiola,Male,2348095167083,chukwudi.abiola59@outlook.com,8252896034,Ikorodu Division,Ikorodu,Bay,94123.0,Water main leakage along roadside causing traffic obstruction,6.608863,3.499822,Closed,2026-02-13 04:03:00
869,PP20160915993,2016-09-15,Opeyemi Afolabi,Female,2349079696103,opeyemi.afolabi44@gmail.com,66404435794,Epe Division,Epe,11th,94118.0,High-pressure pipe burst affecting multiple residential buildings,6.593503,4.000706,Closed,2026-02-13 04:03:00
870,PP20100402048,2010-04-02,Zainab Ibrahim,Female,2348181796750,zainab.ibrahim87@hotmail.com,74273225794,Lagos Island Division,Lagos Island,Broderick,94117.0,2nd floor: remodel kitchen and bathroom,6.453056,3.393012,Closed,2026-02-13 04:03:00
871,PP20170925006,2017-09-25,Emeka Chukwu,Male,2348148590075,emeka.chukwu56@hotmail.com,251061710,Ikeja Division,Kosofe,40th,94122.0,Underground water pipe burst near hospital entrance,6.584001,3.428319,Closed,2026-02-13 04:03:00
872,PP20150724587,2015-07-24,Ngozi Eze,Female,2348107796693,ngozi.eze40@gmail.com,91160246570,Badagry Division,Ojo,07th,94122.0,conversion of nail spa to office; canceling floor drains & water lines,6.451726,3.185384,Closed,2026-02-13 04:03:00
873,PP20141017080,2014-10-17,Ngozi Ibrahim,Female,2349081892134,ngozi.ibrahim90@gmail.com,68658395592,Lagos Island Division,Eti-Osa,Head,94132.0,Water main leakage along roadside causing traffic obstruction,6.442852,3.426911,Closed,2026-02-13 04:03:00
874,PP20120830212,2012-08-30,Temitope Abiola,Female,2349010948498,temitope.abiola83@outlook.com,60777835615,Ikeja Division,Mushin,Vernon,94132.0,Sudden burst water pipe inside bathroom wall causing flooding,6.529196,3.36461,Closed,2026-02-13 04:03:00
875,PP20080828918,2008-08-28,Bola Balogun,Female,2348169523302,bola.balogun64@hotmail.com,73472503520,Ikeja Division,Ikeja,Bertha,94124.0,Toilet overflow due to heavily blocked drain system,6.574768,3.358279,Closed,2026-02-13 04:03:00
876,PP20190308822,2019-03-08,Bola Bamidele,Female,2348050808011,bola.bamidele77@outlook.com,52766764977,Badagry Division,Amuwo-Odofin,Cambridge,94134.0,"amend pp20190124555. new domestic service/waterline (domestic only, no fire) from building penetration, through breezeway, into building basement. waterline services buildings a (main school building), b (gym complex), c (chapel), d (cambridge hall), e (school building), f (school building). all buildings on 501 cambridge.",6.443459,3.231694,Closed,2026-02-13 04:03:00
877,PP20141230800,2014-12-30,Chioma Nnamdi,Female,2348165602178,chioma.nnamdi78@yahoo.com,79517908859,Badagry Division,Ajeromi-Ifelodun,Laguna,94102.0,"new kitchen waste, gas test for gas to stove. install new tub & plumbing fixtures.",6.471812,3.347037,Closed,2026-02-13 04:03:00
878,PP20170421759,2017-04-21,Temitope Bamidele,Female,2348031983485,temitope.bamidele50@yahoo.com,55300046005,Ikeja Division,Agege,Clement,94121.0,install handicapped ada bathroom,6.614126,3.345529,Closed,2026-02-13 04:03:00
879,PP20110207864,2011-02-07,Adaeze Bamidele,Female,2349098869844,adaeze.bamidele93@yahoo.com,11687164939,Ikeja Division,Oshodi-Isolo,15th,94122.0,Water pipeline rupture near highway causing erosion,6.569723,3.321249,Closed,2026-02-13 04:03:00
880,PP20160901628,2016-09-01,Seyi Ogunleye,Male,2348147938662,seyi.ogunleye84@gmail.com,33866387935,Ikeja Division,Ifako-Ijaiye,15th,94116.0,3 shower pans.,6.6862,3.336021,Closed,2026-02-13 04:03:00
881,PP20180531893,2018-05-31,Opeyemi Adebisi,Female,2349036420659,opeyemi.adebisi26@gmail.com,30492011732,Badagry Division,Ajeromi-Ifelodun,Chattanooga,94114.0,Major pipe burst near primary school disrupting access road,6.467454,3.31728,Closed,2026-02-13 04:03:00
882,PP20150317911,2015-03-17,Ifeanyi Owolabi,Male,2349061317601,ifeanyi.owolabi66@outlook.com,39004686427,Ikeja Division,Ifako-Ijaiye,Guerrero,94110.0,High-pressure pipe burst affecting multiple residential buildings,6.667339,3.320168,Closed,2026-02-13 04:03:00
883,PP20160714117,2016-07-14,Chioma Eze,Female,2348033201808,chioma.eze25@hotmail.com,63027183696,Ikeja Division,Kosofe,Waller,94102.0,Cracked underground pipe slowly flooding compound,6.605009,3.414941,Closed,2026-02-13 04:03:00
884,PP20180912763,2018-09-12,Olamide Okafor,Male,2349061144399,olamide.okafor97@yahoo.com,76364962966,Badagry Division,Ajeromi-Ifelodun,Cervantes,94123.0,remodel of kitchen and bathroom,6.467932,3.338815,Closed,2026-02-13 04:03:00
885,PP20080328281,2008-03-28,Ifeanyi Abiola,Male,2348053931444,ifeanyi.abiola43@hotmail.com,17683804963,Ikeja Division,Agege,Arbor,94131.0,Severe shower pipe rupture flooding entire bathroom,6.615936,3.352951,Closed,2026-02-13 04:03:00
886,PP20081016225,2008-10-16,Adaeze Afolabi,Female,2348120516344,adaeze.afolabi90@outlook.com,68441473173,Badagry Division,Ajeromi-Ifelodun,Baker,94123.0,Public tap pipe severely damaged in residential community,6.460474,3.335246,Closed,2026-02-13 04:03:00
887,PP20080522907,2008-05-22,Obinna Mohammed,Male,2349041423138,obinna.mohammed29@hotmail.com,46493639314,Ikeja Division,Ifako-Ijaiye,15th,94114.0,Open manhole with visible sewage leakage on street,6.662375,3.3154,Closed,2026-02-13 04:03:00
888,PP20180122086,2018-01-22,Adaeze Ojo,Female,2349072005230,adaeze.ojo65@outlook.com,73185294584,Ikeja Division,Agege,Frederick,94117.0,Public tap pipe severely damaged in residential community,6.609382,3.33563,Closed,2026-02-13 04:03:00
889,PP20140630923,2014-06-30,Adebayo Adebisi,Male,2348100451660,adebayo.adebisi62@gmail.com,80930119409,Ikeja Division,Agege,Mission,94110.0,Persistent dripping tap in kitchen wasting water daily,6.611207,3.329076,Closed,2026-02-13 04:03:00
890,PP20110124555,2011-01-24,Olamide Balogun,Male,2348063400680,olamide.balogun13@yahoo.com,25002815256,Badagry Division,Ajeromi-Ifelodun,Myra,94127.0,Open manhole with visible sewage leakage on street,6.452637,3.332469,Closed,2026-02-13 04:03:00
891,PP20160204687,2016-02-04,Ngozi Balogun,Female,2348181551836,ngozi.balogun45@gmail.com,61237408016,Ikorodu Division,Ikorodu,Beale,94105.0,Persistent dripping tap in kitchen wasting water daily,6.604353,3.518101,Closed,2026-02-13 04:03:00
892,PP20160711965,2016-07-11,Emeka Mohammed,Male,2349052768201,emeka.mohammed44@yahoo.com,25740921546,Ikorodu Division,Ikorodu,Mission,94110.0,Sudden burst water pipe inside bathroom wall causing flooding,6.620224,3.495924,Closed,2026-02-13 04:03:00
893,PP20081106084,2008-11-06,Adaeze Ekanem,Female,2348170491279,adaeze.ekanem72@yahoo.com,15454646085,Lagos Island Division,Lagos Mainland,Oakdale,94124.0,Flooding due to collapsed drainage system after rainfall,6.521308,3.371678,Closed,2026-02-13 04:03:00
894,PP20180103603,2018-01-03,Amaka Danladi,Female,2348073495680,amaka.danladi30@hotmail.com,80163904356,Badagry Division,Ajeromi-Ifelodun,28th,94121.0,relocate toilet and vanity in existing bathroom,6.469892,3.346705,Closed,2026-02-13 04:03:00
895,PP20150312756,2015-03-12,Adaeze Nnamdi,Female,2349038470380,adaeze.nnamdi78@gmail.com,25193986153,Ikeja Division,Ifako-Ijaiye,Precita,94110.0,underground drain pipe. replacement in the driveway and house trap,6.651048,3.32975,Closed,2026-02-13 04:03:00
896,PP20130924443,2013-09-24,Tunde Balogun,Male,2348193262091,tunde.balogun50@yahoo.com,77079602422,Ikeja Division,Kosofe,Hermann,94102.0,176 hermann: install 2 new bathroom with 1 shower pan & water heater. 174 hermann: install 1 showr pan.,6.581699,3.423413,Closed,2026-02-13 04:03:00
897,PP20111011638,2011-10-11,Ifeanyi Abiola,Male,2349093007673,ifeanyi.abiola96@yahoo.com,7840080822,Ikorodu Division,Ikorodu,Cayuga,94112.0,Underground water pipe burst near hospital entrance,6.621532,3.50298,Closed,2026-02-13 04:03:00
898,PP20180322919,2018-03-22,Abdulrahman Oladipo,Male,2348082732356,abdulrahman.oladipo65@outlook.com,34559808365,Ikeja Division,Ikeja,Golden Gate,94115.0,Major pipe burst near primary school disrupting access road,6.598609,3.34354,Closed,2026-02-13 04:03:00
899,PP20170727380,2017-07-27,Opeyemi Owolabi,Female,2348093761784,opeyemi.owolabi50@yahoo.com,81168467739,Ikeja Division,Ifako-Ijaiye,Cresta Vista,94127.0,Persistent dripping tap in kitchen wasting water daily,6.68056,3.328813,Closed,2026-02-13 04:03:00
900,PP20190117341,2019-01-17,Chinedu Nwosu,Male,2349033353664,chinedu.nwosu30@hotmail.com,60349653259,Ikeja Division,Alimosho,Van Ness,94109.0,Open manhole with visible sewage leakage on street,6.628012,3.294393,Closed,2026-02-13 04:03:00
901,PP20140811131,2014-08-11,Chisom Umeh,Female,2348154976656,chisom.umeh34@yahoo.com,42318692770,Ikeja Division,Oshodi-Isolo,Sutter,94108.0,Blocked drainage channel causing street-level flooding,6.546516,3.292963,Closed,2026-02-13 04:03:00
902,PP20090427868,2009-04-27,Adaeze Balogun,Female,2349069191969,adaeze.balogun62@hotmail.com,44210391491,Ikeja Division,Mushin,12th,94118.0,Water heater pipe leakage soaking utility area,6.509269,3.338759,Closed,2026-02-13 04:03:00
903,PP20101014533,2010-10-14,Adebayo Nnamdi,Male,2348096401877,adebayo.nnamdi79@hotmail.com,9999819320,Lagos Island Division,Lagos Island,Magellan,94116.0,Toilet overflow due to heavily blocked drain system,6.456771,3.399787,Closed,2026-02-13 04:03:00
904,PP20080910511,2008-09-10,Bola Ekanem,Female,2348120587232,bola.ekanem13@hotmail.com,71705320906,Lagos Island Division,Lagos Island,Post,94109.0,Open manhole with visible sewage leakage on street,6.438288,3.40365,Closed,2026-02-13 04:03:00
905,PP20080401360,2008-04-01,Femi Ojo,Male,2348088793177,femi.ojo40@outlook.com,52192766492,Ikorodu Division,Ikorodu,43rd,94116.0,Toilet overflow due to heavily blocked drain system,6.614569,3.511968,Closed,2026-02-13 04:03:00
906,PP20160120182,2016-01-20,Amaka Nwosu,Female,2348165780810,amaka.nwosu84@gmail.com,536999056,Ikorodu Division,Ikorodu,20th,94122.0,Bathroom floor drain completely clogged with wastewater backup,6.635522,3.519468,Closed,2026-02-13 04:03:00
907,PP20131023310,2013-10-23,Femi Ajayi,Male,2349077376149,femi.ajayi14@yahoo.com,1885364231,Ikeja Division,Ikeja,North Point,94123.0,Toilet overflow due to heavily blocked drain system,6.599115,3.342588,Closed,2026-02-13 04:03:00
908,PP20170427899,2017-04-27,Adaeze Adeyemi,Female,2349032049786,adaeze.adeyemi76@hotmail.com,52637082249,Ikeja Division,Kosofe,Peninsula,94134.0,Sudden burst water pipe inside bathroom wall causing flooding,6.561782,3.409508,Closed,2026-02-13 04:03:00
909,PP20120711958,2012-07-11,Kelechi Mohammed,Male,2348140001039,kelechi.mohammed84@gmail.com,2315930262,Lagos Island Division,Surulere,Pacific,94115.0,Flooding due to collapsed drainage system after rainfall,6.494789,3.350928,Closed,2026-02-13 04:03:00
910,PP20191106972,2019-11-06,Uche Afolabi,Male,2348113368600,uche.afolabi92@gmail.com,55019511375,Lagos Island Division,Apapa,Fulton,94117.0,Sudden burst water pipe inside bathroom wall causing flooding,6.447487,3.359769,Closed,2026-02-13 04:03:00
911,PP20090527606,2009-05-27,Amaka Yakubu,Female,2349033059147,amaka.yakubu98@hotmail.com,73266107256,Ikeja Division,Ifako-Ijaiye,Desmond,94134.0,Toilet overflow due to heavily blocked drain system,6.667551,3.3221,Closed,2026-02-13 04:03:00
912,PP20110727847,2011-07-27,Seyi Mohammed,Male,2348172868042,seyi.mohammed44@hotmail.com,75642167721,Badagry Division,Ajeromi-Ifelodun,Hyde,94109.0,Blocked drainage channel causing street-level flooding,6.468387,3.337719,Closed,2026-02-13 04:03:00
913,PP20190903995,2019-09-03,Chioma Yakubu,Female,2348063697949,chioma.yakubu56@yahoo.com,85924018992,Lagos Island Division,Apapa,Eddy,94115.0,Sewer overflow spreading wastewater near market area,6.437896,3.373109,Closed,2026-02-13 04:03:00
914,PP20091026872,2009-10-26,Obinna Ibrahim,Male,2348092223547,obinna.ibrahim64@hotmail.com,79747113713,Lagos Island Division,Apapa,Stanyan,94117.0,Sewer overflow spreading wastewater near market area,6.447814,3.359188,Closed,2026-02-13 04:03:00
915,PP20170417629,2017-04-17,Abdulrahman Ibrahim,Male,2348164491461,abdulrahman.ibrahim78@outlook.com,72710578971,Lagos Island Division,Eti-Osa,Pacheco,94116.0,Flooding due to collapsed drainage system after rainfall,6.440182,3.424232,Closed,2026-02-13 04:03:00
916,PP20170314728,2017-03-14,Adebayo Ekanem,Male,2348086483907,adebayo.ekanem47@gmail.com,6625680242,Ikeja Division,Kosofe,Buckingham,94132.0,Septic tank backflow causing strong sewage odor indoors,6.592831,3.419571,Closed,2026-02-13 04:03:00
917,PP20180521573,2018-05-21,Yetunde Owolabi,Female,2348177671280,yetunde.owolabi21@outlook.com,79510948980,Epe Division,Ibeju-Lekki,06th,94118.0,Flooding due to collapsed drainage system after rainfall,6.463876,3.588615,Closed,2026-02-13 04:03:00
918,PP20191031839,2019-10-31,Ijeoma Danladi,Female,2349077643999,ijeoma.danladi18@yahoo.com,25431341906,Badagry Division,Ojo,Battery,94111.0,Water pipeline rupture near highway causing erosion,6.449563,3.184086,Open,2026-02-13 04:03:00
919,PP20170516417,2017-05-16,Chinedu Ojo,Male,2348169504336,chinedu.ojo38@outlook.com,67950712734,Ikeja Division,Alimosho,Corbett,94131.0,Underground water pipe burst near hospital entrance,6.608668,3.292919,Closed,2026-02-13 04:03:00
920,PP20140211115,2014-02-11,Ijeoma Abiola,Female,2348117745124,ijeoma.abiola96@yahoo.com,86960079091,Ikorodu Division,Ikorodu,Noe,94114.0,2 shower pans,6.618115,3.491682,Closed,2026-02-13 04:03:00
921,PP20120201145,2012-02-01,Uche Oladipo,Male,2348032354931,uche.oladipo67@hotmail.com,38669640476,Lagos Island Division,Apapa,15th,94114.0,Water heater pipe leakage soaking utility area,6.443313,3.359928,Closed,2026-02-13 04:03:00
922,PP20101210677,2010-12-10,Olamide Mohammed,Male,2348144460347,olamide.mohammed62@gmail.com,61037016457,Ikorodu Division,Ikorodu,Potrero,94110.0,Sewer overflow spreading wastewater near market area,6.620999,3.500223,Closed,2026-02-13 04:03:00
